Asset ID,Timestamp,X,Y
A1,2025-05-22 09:00:00,44.56,21.77
A1,2025-05-22 09:05:00,239.35,228.71
A1,2025-05-22 09:10:00,45.86,22.87
A1,2025-05-22 09:15:00,44.67,25.32
A1,2025-05-22 09:20:00,46.11,24.94
A1,2025-05-22 09:25:00,46.11,24.94
A1,2025-05-22 09:30:00,226.42,228.26
A1,2025-05-22 09:35:00,43.94,25.11
A1,2025-05-22 09:40:00,40.95,25.01
A1,2025-05-22 09:45:00,39.97,18.64
A1,2025-05-22 09:50:00,37.29,18.48
A1,2025-05-22 09:55:00,37.8,19.57
A1,2025-05-22 10:00:00,38.65,18.91
A1,2025-05-22 10:05:00,40.75,19.84
A1,2025-05-22 10:10:00,40.75,19.84
A1,2025-05-22 10:15:00,37.75,18.65
A1,2025-05-22 10:20:00,34.91,17.41
A1,2025-05-22 10:25:00,35.81,15.51
A1,2025-05-22 10:30:00,35.42,16.16
A1,2025-05-22 10:35:00,35.21,14.72
A1,2025-05-22 10:40:00,33.51,13.73
A1,2025-05-22 10:45:00,40.75,19.84
A1,2025-05-22 10:50:00,40.74,16.93
A1,2025-05-22 10:55:00,38.97,17.7
A1,2025-05-22 11:00:00,41.16,18.54
A1,2025-05-22 11:05:00,41.11,18.11
A1,2025-05-22 11:10:00,38.69,17.03
A1,2025-05-22 11:15:00,38.69,17.03
A1,2025-05-22 11:20:00,37.69,17.07
A1,2025-05-22 11:25:00,39.36,17.71
A1,2025-05-22 11:30:00,39.3,15.58
A1,2025-05-22 11:35:00,39.3,15.58
A1,2025-05-22 11:40:00,43.3,16.2
A1,2025-05-22 11:45:00,43.71,14.96
A1,2025-05-22 11:50:00,43.14,15.98
A1,2025-05-22 11:55:00,39.83,13.55
A1,2025-05-22 12:00:00,214.78,232.92
A1,2025-05-22 12:05:00,39.83,13.55
A1,2025-05-22 12:10:00,39.83,13.55
A1,2025-05-22 12:15:00,43.02,10.35
A1,2025-05-22 12:20:00,260.27,200.25
A1,2025-05-22 12:25:00,45.77,10.63
A1,2025-05-22 12:30:00,45.77,10.63
A1,2025-05-22 12:35:00,42.74,11.26
A1,2025-05-22 12:40:00,42.25,8.8
A1,2025-05-22 12:45:00,206.45,236.65
A1,2025-05-22 12:50:00,40.73,11.23
A1,2025-05-22 12:55:00,45.86,22.87
A1,2025-05-22 13:00:00,48.54,19.82
A1,2025-05-22 13:05:00,260.78,256.87
A1,2025-05-22 13:10:00,48.54,19.82
A1,2025-05-22 13:15:00,48.54,19.82
A1,2025-05-22 13:20:00,50.47,21.21
A1,2025-05-22 13:25:00,292.98,295.2
A1,2025-05-22 13:30:00,48.8,24.48
A1,2025-05-22 13:35:00,49.05,27.49
A1,2025-05-22 13:40:00,49.89,28.3
A1,2025-05-22 13:45:00,49.25,28.6
A1,2025-05-22 13:50:00,46.75,25.44
A1,2025-05-22 13:55:00,44.69,24.94
A1,2025-05-22 14:00:00,46.47,27.3
A1,2025-05-22 14:05:00,48.67,26.86
A1,2025-05-22 14:10:00,49.38,26.48
A1,2025-05-22 14:15:00,51.26,25.22
A1,2025-05-22 14:20:00,51.89,30.31
A1,2025-05-22 14:25:00,51.89,30.31
A1,2025-05-22 14:30:00,51.16,31.25
A1,2025-05-22 14:35:00,51.16,31.25
A1,2025-05-22 14:40:00,50.28,29.56
A1,2025-05-22 14:45:00,55.63,29.35
A1,2025-05-22 14:50:00,209.44,266.88
A1,2025-05-22 14:55:00,287.52,235.65
A1,2025-05-22 15:00:00,45.77,10.63
A1,2025-05-22 15:05:00,45.77,10.63
A1,2025-05-22 15:10:00,44.76,12.48
A1,2025-05-22 15:15:00,47.02,10.76
A1,2025-05-22 15:20:00,286.88,203.32
A1,2025-05-22 15:25:00,47.02,10.76
A1,2025-05-22 15:30:00,262.13,266.44
A1,2025-05-22 15:35:00,49.98,12.93
A1,2025-05-22 15:40:00,49.98,12.93
A1,2025-05-22 15:45:00,47.95,12.82
A1,2025-05-22 15:50:00,48.56,16.51
A1,2025-05-22 15:55:00,49.4,19.27
A1,2025-05-22 16:00:00,49.4,19.27
A1,2025-05-22 16:05:00,48.55,21.94
A1,2025-05-22 16:10:00,50.0,19.14
A1,2025-05-22 16:15:00,50.0,19.14
A1,2025-05-22 16:20:00,52.65,20.5
A1,2025-05-22 16:25:00,54.54,23.31
A1,2025-05-22 16:30:00,55.03,21.74
A1,2025-05-22 16:35:00,53.83,21.9
A1,2025-05-22 16:40:00,58.06,24.32
A1,2025-05-22 16:45:00,60.85,27.78
A1,2025-05-22 16:50:00,60.85,27.78
A1,2025-05-22 16:55:00,60.85,27.78
A1,2025-05-22 17:00:00,62.32,25.99
A1,2025-05-22 17:05:00,202.66,240.01
A1,2025-05-22 17:10:00,62.81,25.57
A1,2025-05-22 17:15:00,61.19,28.59
A2,2025-05-22 09:00:00,39.79,61.17
A2,2025-05-22 09:05:00,39.79,61.17
A2,2025-05-22 09:10:00,39.13,63.06
A2,2025-05-22 09:15:00,259.41,234.38
A2,2025-05-22 09:20:00,33.57,62.26
A2,2025-05-22 09:25:00,33.74,62.29
A2,2025-05-22 09:30:00,292.66,210.43
A2,2025-05-22 09:35:00,273.47,282.61
A2,2025-05-22 09:40:00,33.23,59.66
A2,2025-05-22 09:45:00,32.97,59.77
A2,2025-05-22 09:50:00,28.67,60.29
A2,2025-05-22 09:55:00,28.67,60.29
A2,2025-05-22 10:00:00,29.42,63.3
A2,2025-05-22 10:05:00,28.81,62.04
A2,2025-05-22 10:10:00,26.51,63.33
A2,2025-05-22 10:15:00,27.74,59.99
A2,2025-05-22 10:20:00,25.27,62.67
A2,2025-05-22 10:25:00,25.27,62.67
A2,2025-05-22 10:30:00,23.23,63.31
A2,2025-05-22 10:35:00,24.91,61.07
A2,2025-05-22 10:40:00,24.91,61.07
A2,2025-05-22 10:45:00,24.91,61.07
A2,2025-05-22 10:50:00,24.08,62.19
A2,2025-05-22 10:55:00,25.23,64.27
A2,2025-05-22 11:00:00,27.72,62.08
A2,2025-05-22 11:05:00,27.72,62.08
A2,2025-05-22 11:10:00,250.36,229.61
A2,2025-05-22 11:15:00,29.72,60.65
A2,2025-05-22 11:20:00,29.72,60.65
A2,2025-05-22 11:25:00,28.06,58.35
A2,2025-05-22 11:30:00,28.06,58.35
A2,2025-05-22 11:35:00,25.27,62.67
A2,2025-05-22 11:40:00,24.93,62.67
A2,2025-05-22 11:45:00,24.66,59.38
A2,2025-05-22 11:50:00,265.17,272.1
A2,2025-05-22 11:55:00,33.23,59.66
A2,2025-05-22 12:00:00,261.32,274.91
A2,2025-05-22 12:05:00,287.49,236.9
